"Africa","Kenya","Liquid Telecom","http://www.liquidtelecom.com/","http://mirror.liquidtelecom.com/centos/","ftp://mirror.liquidtelecom.com/centos/","rsync://mirror.liquidtelecom.com/centos/"
"Africa","South Africa","BitCo","http://bitco.co.za/","http://mirror.bitco.co.za/centos/","",""
"Africa","South Africa","Internet Solutions","http://www.is.co.za/","http://ftp.is.co.za/mirror/centos/","ftp://ftp.is.co.za/mirror/centos/","rsync://ftp.is.co.za/mirror/centos/"
"Africa","South Africa","JSDAAV ZA Telecoms (Pty) Ltd","http://www.jsdaav.com/","http://dl.za.jsdaav.net/mirror/CentOS/","ftp://dl.za.jsdaav.net/mirror/CentOS/","rsync://dl.za.jsdaav.net/mirror/CentOS/"
"Africa","South Africa","Telkom SA","http://www.telkom.co.za","http://www.ftp.saix.net/pub/linux/distributions/centos/","ftp://ftp.saix.net/pub/linux/distributions/centos/",""
"Africa","South Africa","Tenet ","http://www.tenet.ac/","http://centos.mirror.ac.za/","ftp://centos.mirror.ac.za/","rsync://centos.mirror.ac.za/centos/"
"Africa","South Africa ","University of the Free State","http://www.ufs.ac.za/","http://mirror.ufs.ac.za/centos/","ftp://mirror.ufs.ac.za/os/linux/distros/centos/","rsync://mirror.ufs.ac.za/centos/"
"Africa","South Africa","WBS / iBurst","https://www.iburst.co.za/","http://mirror.wbs.co.za/centos/","ftp://mirror.wbs.co.za/centos/","rsync://mirror.wbs.co.za/centos/"
"Africa","South Africa","Web Africa","http://www.webafrica.co.za/","http://ftp.wa.co.za/pub/centos/","ftp://ftp.wa.co.za/pub/centos/",""
"Africa","Tanzania","Aptus Solutions","http://www.aptus.co.tz/","http://mirror.aptus.co.tz/pub/centos/","",""
"Africa","Uganda","Uganda Christian University","http://www.ucu.ac.ug/","http://mirror.ucu.ac.ug/centos/","",""
"Africa","Zimbabwe","Zimbabwe Online","http://www.zol.co.zw/","http://mirror.zol.co.zw/centos/","ftp://mirror.zol.co.zw/centos/","rsync://mirror.zol.co.zw/centos/"
"Asia","Bangladesh","dhakaCom Limited","http://www.dhakacom.com/","http://mirror.dhakacom.com/centos/","ftp://mirror.dhakacom.com/centos/",""
"Asia","China"," Zhejiang University","http://www.zju.edu.cn/","http://mirrors.zju.edu.cn/centos/","",""
"Asia","China","Beijing Institute of Technology","http://www.bit.edu.cn/","http://mirror.bit.edu.cn/centos/","",""
"Asia","China","Beijing Teletron Telecom Engineering","http://www.btte.com.cn","http://mirrors.btte.net/centos/","",""
"Asia","China","CDS China","http://www.yun-idc.com/","http://mirrors.yun-idc.com/centos/","ftp://mirrors.yun-idc.com/centos/","rsync://mirrors.yun-idc.com/centos/"
"Asia","China","China University of Geosciences","http://www.cug.edu.cn/","http://mirrors.cug.edu.cn/centos/","",""
"Asia","China","Dalian Neusoft University of Information","http://www.neusoft.edu.cn/","http://mirrors.neusoft.edu.cn/centos/","ftp://mirrors.neusoft.edu.cn/centos/",""
"Asia","China","Huazhong University of Science and Technology","http://www.hust.edu.cn/","http://mirrors.hust.edu.cn/centos/","","rsync://mirrors.hust.edu.cn/centos/"
"Asia","China","Lanzhou University Open Source Society","https://oss.lzu.edu.cn/","http://mirror.lzu.edu.cn/centos/","",""
"Asia","China","NetEase","http://www.163.com/","http://mirrors.163.com/centos/","",""
"Asia","China","Northwest A&F University ","http://www.nwsuaf.edu.cn","http://mirrors.nwsuaf.edu.cn/centos/","",""
"Asia","China","Shanghai Jiao Tong University","http://www.sjtu.edu.cn/","http://ftp.sjtu.edu.cn/centos/","ftp://ftp.sjtu.edu.cn/centos/",""
"Asia","China","SINA Corporation","http://www.sina.com/","http://mirrors.sina.cn/centos/","",""
"Asia","China","Sohu Inc, Beijing P.R. China","http://www.sohu.com/","http://mirrors.sohu.com/centos/","",""
"Asia","China","Tsinghua University","http://www.tsinghua.edu.cn/","http://mirrors.tuna.tsinghua.edu.cn/centos/","","rsync://mirrros.tuna.tsinghua.edu.cn/centos/"
"Asia","China","University of Science and Tech of China","http://www.ustc.edu.cn/","http://centos.ustc.edu.cn/centos/","",""
"Asia","Hong Kong","01LINK NETWORK SERVICES LIMITED","http://www.01link.net/","http://centos.01link.hk/","ftp://centos.01link.hk/","rsync://centos.01link.hk/centos/"
"Asia","Hong Kong","CommuniLink Internet Limited","http://www.communilink.net/","http://centos.communilink.net/","ftp://centos.communilink.net/centos/",""
"Asia","Hong Kong","i-System Technology Limited","http://www.uhost.hk/","http://centos.uhost.hk/","ftp://centos.uhost.hk/centos/",""
"Asia","Hong Kong","The Chinese University of Hong Kong","http://www.cuhk.edu.hk/","http://ftp.cuhk.edu.hk/pub/Linux/centos/","ftp://ftp.cuhk.edu.hk/pub/Linux/centos/",""
"Asia","Hong Kong","UDomain Web Hosting Company Ltd.","http://www.udomain.com.hk/","http://repo.virtualhosting.hk/centos/","ftp://repo.virtualhosting.hk/centos/",""
"Asia","India","Excell Media Pvt. Ltd.","http://www.excellmedia.net/","http://centos.excellmedia.net/","",""
"Asia","India","Indian Institute of Technology, Madras","http://www.iitm.ac.in","http://ftp.iitm.ac.in/centos/","ftp://ftp.iitm.ac.in/centos/","rsync://ftp.iitm.ac.in/centos/"
"Asia","India","National Brain Research Centre","http://nbrc.ac.in/","http://mirror.nbrc.ac.in/centos/","",""
"Asia","India","SugarBox Networks Pvt Ltd","http://www.sugarboxnetworks.com/","http://centos.mirror.net.in/centos/","",""
"Asia","Indonesia"," PT. Orion Cyber Internet","http://orion.net.id/","http://mirror.dionipe.net/Centos/","",""
"Asia","Indonesia","DATAUTAMA-NET-ID","http://datautama.net.id/","http://kartolo.sby.datautama.net.id/Centos/","",""
"Asia","Indonesia","JR Webhost","http://www.jr-webhost.net/","http://centos.jr-webhost.net/","",""
"Asia","Indonesia","Kelompok Linux Arek Surabaya (KLAS)/PT Rahajasa Media Internet (RADNET)","","http://buaya.klas.or.id/centos/","ftp://buaya.klas.or.id/centos/",""
"Asia","Indonesia","Merah Cipta Media, PT","http://www.merahciptamedia.id/","http://centos.merahciptamedia.id/","",""
"Asia","Indonesia","PT.  Axarva Media Teknologi","http://axarva.co.id","http://mirror.axarva.co.id/centos/","",""
"Asia","Indonesia","Smart Media Pratama, PT.","http://smartmedia.net.id/","http://mirror.smartmedia.net.id/centos/","ftp://mirror.smartmedia.net.id/centos/",""
"Asia","Indonesia","State Polytechnic of Banyuwangi","http://www.poliwangi.ac.id/","http://mirror.poliwangi.ac.id/centos/","",""
"Asia","Indonesia","WANXP","http://wanxp.id/","http://mirror.wanxp.id/centos/","ftp://mirror.wanxp.id/centos/","rsync://mirror.wanxp.id/centos/"
"Asia","Iraq","Earthlink Telecommunications","http://earthlink.iq/","http://mirror.earthlink.iq/centos/","",""
"Asia","Iraq","ScopeSky Communications LLC.","http://www.scopesky.com/","http://mirror.scopesky.iq/","",""
"Asia","Japan","FAIRWAY Corporation","http://www.fairway-corp.co.jp/","http://mirror.fairway.ne.jp/centos/","ftp://mirror.fairway.ne.jp/centos/",""
"Asia","Japan","Internet Initiative Japan Inc.","http://www.iij.ad.jp/","http://ftp.iij.ad.jp/pub/linux/centos/","ftp://ftp.iij.ad.jp/pub/linux/centos/","rsync://ftp.iij.ad.jp/centos/"
"Asia","Japan","JAIST","http://www.jaist.ac.jp/","http://ftp.jaist.ac.jp/pub/Linux/CentOS/","ftp://ftp.jaist.ac.jp/pub/Linux/CentOS/","rsync://ftp.jaist.ac.jp/pub/Linux/CentOS/"
"Asia","Japan","KDDI R&D Laboratories Inc.","http://www.kddilabs.jp/english/index.html","http://www.ftp.ne.jp/Linux/packages/CentOS/","ftp://ftp.kddilabs.jp/Linux/packages/CentOS/","rsync://rsync.kddilabs.jp/centos/"
"Asia","Japan","NARA Inst of Science and Technology","http://www.naist.jp/","http://ftp.nara.wide.ad.jp/pub/Linux/centos/","ftp://ftp.nara.wide.ad.jp/pub/Linux/centos/","rsync://ftp.nara.wide.ad.jp/centos"
"Asia","Japan","RIKEN Research Institute","http://www.riken.jp/","http://ftp.riken.jp/Linux/centos/","ftp://ftp.riken.jp/Linux/centos/","rsync://ftp.riken.jp/centos/"
"Asia","Japan","WIDEProject Tsukuba NOC","","http://ftp.tsukuba.wide.ad.jp/Linux/centos/","",""
"Asia","Japan","Yamagata University","http://www.yamagata-u.ac.jp/","http://ftp.yz.yamagata-u.ac.jp/pub/linux/centos/","","rsync://ftp.yz.yamagata-u.ac.jp/pub/linux/centos/"
"Asia","Kazakhstan","Megahost Kazakhstan LLP","https://megahost.kz/","http://mirror.megahost.kz/centos/","ftp://mirror.megahost.kz/centos/","rsync://mirror.megahost.kz/centos/"
"Asia","Kazakhstan","Neolabs LLP","http://neolabs.kz","http://mirror.neolabs.kz/centos/","ftp://mirror.neolabs.kz/centos/","rsync://mirror.neolabs.kz/centos/"
"Asia","Korea"," NAVER Business Platform","http://www.nbp-corp.com/","http://mirror.navercorp.com/centos/","",""
"Asia","Korea","AoneNetworks Co.,Ltd.","http://www.nicehosting.co.kr","http://data.nicehosting.co.kr/os/CentOS/","",""
"Asia","Korea","CDNetworks Co., Ltd.","http://www.cdnetworks.com/","http://centos.mirror.cdnetworks.com/","ftp://centos.mirror.cdnetworks.com/centos/",""
"Asia","Korea","Daum Kakao. Corp.","http://www.daumkakao.com/","http://ftp.daumkakao.com/centos/","",""
"Asia","Korea","KAIST","http://www.kaist.ac.kr/","http://ftp.kaist.ac.kr/CentOS/","ftp://ftp.kaist.ac.kr/CentOS/","rsync://ftp.kaist.ac.kr/centos/"
"Asia","Korea","NeowizGames corp.","http://www.pmang.com/","http://ftp.neowiz.com/centos/","ftp://ftp.neowiz.com/centos/","rsync://ftp.neowiz.com/centos/"
"Asia","Korea","Onnetcorp","http://www.onnetcorp.com","http://mirror.oasis.onnetcorp.com/centos/","",""
"Asia","Korea","Premist","http://premi.st/","http://mirror.premi.st/centos/","",""
"Asia","Malaysia","Exabytes Network Sdn. Bhd","http://www.exabytes.com.my/","http://centos.exabytes.com.my/main/","",""
"Asia","Malaysia","IP ServerOne Solutions Sdn Bhd","http://www.ipserverone.com/","http://centos.ipserverone.com/centos/","",""
"Asia","Malaysia","Net Onboard Sdn Bhd","http://www.netonboard.com/","http://centos.netonboard.com/centos/","",""
"Asia","Malaysia","OSCC MAMPU","http://www.oscc.org.my/","http://mirror.oscc.org.my/centos/","",""
"Asia","Malaysia","Sultan Idris Education University","http://www.upsi.edu.my/","http://mirror.upsi.edu.my/centos/","",""
"Asia","Pakistan","Nayatel (Pvt) Ltd.","http://www.nayatel.com/","http://mirrors.nayatel.com/centos/","",""
"Asia","Philippines","DOST-ASTI and PREGI.NET","http://www.asti.dost.gov.ph/","http://mirror.pregi.net/centos/","frtp://mirror.pregi.net/centos/",""
"Asia","Philippines","Rise","http://rise.ph/","http://mirror.rise.ph/centos/","ftp://mirror.rise.ph/centos/",""
"Asia","Singapore"," National University of Singapore","http://download.nus.edu.sg/","http://download.nus.edu.sg/mirror/centos/","","rsync://download.nus.edu.sg/centos/"
"Asia","Singapore","0x.sg","http://mirror.0x.sg/","http://mirror.0x.sg/centos/","","rsync://mirror.0x.sg/centos/"
"Asia","Singapore","National University of Singapore","http://www.comp.nus.edu.sg/","http://mirror.nus.edu.sg/centos/","ftp://mirror.nus.edu.sg/html/centos/",""
"Asia","Singapore","ReadySpace (SG) Pte Ltd","http://www.readyspace.com.sg/","http://mirror.readyspace.com/centos/","",""
"Asia","Singapore","USONYX PTE. LTD.","http://www.usonyx.net/","http://centos.usonyx.net/main/","",""
"Asia","Singapore","Vastspace Pte Ltd","http://www.vastspace.net/","http://mirror.vastspace.net/centos/","",""
"Asia","Singapore","Vodien Internet Solutions Pte Ltd.","http://www.vodien.com/","http://mirror.vodien.com/centos/","",""
"Asia","Taiwan","Computer Center, Shu-Te University","http://en.main.stu.edu.tw/","http://ftp.stu.edu.tw/Linux/CentOS/","ftp://ftp.stu.edu.tw/Linux/CentOS/",""
"Asia","Taiwan","Department of Computer Science and Engineering, Yuan Ze University","http://cse.yzu.edu.tw/","http://ftp.yzu.edu.tw/Linux/CentOS/","ftp://ftp.yzu.edu.tw/Linux/CentOS/","rsync://ftp.yzu.edu.tw/Linux/CentOS/"
"Asia","Taiwan","Department of Computer Science National Chiao Tung University","http://www.cs.nctu.edu.tw/","http://centos.cs.nctu.edu.tw/","ftp://linux.cs.nctu.edu.tw/CentOS/","rsync://linux.cs.nctu.edu.tw/CentOS/"
"Asia","Taiwan","HiNet IDC","http://www.idc.hinet.net/en/index.htm","http://mirror01.idc.hinet.net/CentOS/","ftp://mirror01.idc.hinet.net/CentOS/",""
"Asia","Taiwan","I-Shou University","http://www.isu.edu.tw/","http://ftp.isu.edu.tw/pub/Linux/CentOS/","ftp://ftp.isu.edu.tw/pub/Linux/CentOS/","rsync://ftp.isu.edu.tw/centos/"
"Asia","Taiwan","Kun Shan University","http://www.ksu.edu.tw/","http://ftp.ksu.edu.tw/pub/CentOS/","ftp://ftp.ksu.edu.tw/pub/CentOS/",""
"Asia","Taiwan","National Center for High-Perf Computing","http://www.nchc.org.tw/en/","http://ftp.twaren.net/Linux/CentOS/","ftp://ftp.twaren.net/Linux/CentOS/",""
"Asia","Taiwan","Southern Taiwan University of Science and Technology","http://www.stust.edu.tw/","http://ftp.stust.edu.tw/pub/Linux/CentOS/","ftp://ftp.stust.edu.tw/pub/Linux/CentOS/",""
"Asia","Taiwan","TaiChung City Education Network Center","http://www.tc.edu.tw/","http://ftp.tc.edu.tw/Linux/CentOS/","ftp://ftp.tc.edu.tw/Linux/CentOS/",""
"Asia","Thailand","Adminbannok.com","http://www.adminbannok.com/","http://mirror.adminbannok.com/centos/","",""
"Asia","Thailand","Bangmod Hosting","http://www.bangmodhosting.com/","http://mirrors.bangmodhosting.com/centos/","","rsync://mirrors.bangmodhosting.com/centos/"
"Asia","Thailand","Best IDC","http://www.bestidc.net/","http://mirrors.bestthaihost.com/centos/","","rsync://mirrors.bestthaihost.com/centos/"
"Asia","Thailand","Hosting.in.th","http://www.hosting.in.th/","http://mirrors.hosting.in.th/centos/","",""
"Asia","Thailand","Kasetsart University","http://www.ku.ac.th/","http://mirror1.ku.ac.th/centos/","",""
"Asia","Thailand","Prince of Songkla University, Hatyai cam","http://www.psu.ac.th/en/","http://mirrors.psu.ac.th/pub/centos/","ftp://mirrors.psu.ac.th/pub/centos/","rsync://mirrors.psu.ac.th/centos/"
"Asia","Thailand","THZ Hosting","http://www.thzhost.com/","http://mirrors.thzhost.com/centos/","","rsync://mirrors.thzhost.com/centos/"
"Asia","Thailand","TOT Public Company Limited","http://www.tot.co.th/","http://mirror2.totbb.net/centos/","ftp://mirror2.totbb.net/centos/","http://mirror2.totbb.net/centos/"
"Asia","Uzbekistan","Comnet ISP","http://comnet.uz/","http://mirror.comnet.uz/centos/","","rsync://mirror.comnet.uz/centos/"
"Asia","Vietnam","DIGIPOWER Co.,ltd","http://www.digipower.vn/","http://mirrors.digipower.vn/centos/","ftp://mirrors.digipower.vn/centos/","rsync://mirrors.digipower.vn/centos/"
"Asia","Vietnam","Nhan Hoa","https://nhanhoa.com/","http://mirrors.nhanhoa.com/centos/","",""
"Asia","Vietnam","VHost","http://vhost.vn/","http://mirrors.vhost.vn/centos/","",""
"Asia","Vietnam","Viettel  IDC ","http://viettelidc.com.vn/","http://centos-hcm.viettelidc.com.vn/","",""
"Asia","Vietnam","Viettel IDC","http://viettelidc.com.vn/","http://centos-hn.viettelidc.com.vn/","",""
"Asia","Vietnam","VinaHost Co., Ltd","http://vinahost.vn/","http://mirrors.vinahost.vn/centos/","",""
"Asia","Vietnam","VONLINE","http://vonline.vn/","http://mirrors.vonline.vn/centos/","",""
"Canada","BC","eSecureData Inc.","http://www.esecuredata.com/","http://mirror.esecuredata.com/centos/","",""
"Canada","BC","Simon Fraser University","http://www.fas.sfu.ca/","http://mirror.its.sfu.ca/mirror/CentOS/","",""
"Canada","MB","LES.NET","http://les.net/","http://centos.les.net/","",""
"Canada","MB","Manitoba Unix User Group","http://www.muug.mb.ca/","http://www.muug.mb.ca/pub/centos/","ftp://ftp.muug.mb.ca/pub/centos/","rsync://rsync.muug.mb.ca/centos/"
"Canada","MB","Westman Communications Grp","http://www.westmancom.com/","http://centos.westmancom.com/","ftp://centos.westmancom.com/",""
"Canada","NS","Dalhousie University","http://www.dal.ca/","http://mirror.its.dal.ca/centos/","ftp://mirror.its.dal.ca/centos/","rsync://mirror.its.dal.ca/centos/"
"Canada","ON","Clearcable Networks","http://www.clearcable.ca/","http://centos.mirror.rafal.ca/","ftp://centos.mirror.rafal.ca/pub/CentOS/","rsync://centos.mirror.rafal.ca/CentOS"
"Canada","ON","Cogeco Inc.","http://www.cogeco.net/","http://less.cogeco.net/CentOS/","ftp://less.cogeco.net/CentOS/",""
"Canada","ON","Netflash Internet Solutions","http://www.netflash.net/","http://mirror.netflash.net/centos/","ftp://mirror.netflash.net/centos/","rsync://mirror.netflash.net/centos/"
"Canada","ON","U. of Waterloo Computer Science Club","http://csclub.uwaterloo.ca/","http://mirror.csclub.uwaterloo.ca/centos/","ftp://mirror.csclub.uwaterloo.ca/centos/","rsync://mirror.csclub.uwaterloo.ca/centos/"
"Canada","ON","Wightman Telecom","http://wightman.ca/","http://mirror.netaddicted.ca/CentOS/","ftp://mirror.netaddicted.ca/CentOS/",""
"Canada","QC","GloboTech Communications","http://www.gtcomm.net/","http://centos.mirror.gtcomm.net/","",""
"Canada","QC","GpMidi","https://www.gpmidi.net/","http://mirror.gpmidi.net/centos/","ftp://mirror.gpmidi.net/centos/",""
"Canada","QC","iWeb Technologies Inc.","http://iweb.com/","http://centos.mirror.iweb.ca/","ftp://centos.mirror.iweb.ca/","rsync://centos.mirror.iweb.ca/centos"
"Canada","QC","Netelligent","http://www.netelligent.ca/centos/","http://centos.mirror.netelligent.ca/centos/","",""
"Canada","QC","OVH Canada","http://www.ovh.com/ca/en/","http://centos.bhs.mirrors.ovh.net/ftp.centos.org/","ftp://centos.bhs.mirrors.ovh.net/ftp.centos.org/","rsync://centos.bhs.mirrors.ovh.net/ftp.centos.org/"
"Canada","QC","PlanetHoster Canada","http://www.planethoster.net/","http://centos.mirror.ca.planethoster.net/","",""
"Canada","QC","VEXXHOST","http://www.vexxhost.com/","http://centos.mirror.vexxhost.com/","ftp://mirror.vexxhost.com/centos/","rsync://mirror.vexxhost.com/centos/"
"EU","Armenia","ARMINCO Global Telecommunications","http://www.arminco.com/","http://centos.mirrors.arminco.com/","",""
"EU","Austria","digitalnova it&  web solutions e.U.","http://digitalnova.at/","http://mirror.digitalnova.at/CentOS/","",""
"EU","Austria","Easyname","http://www.easyname.at/de","http://mirror.easyname.at/centos/","ftp://mirror.easyname.at/centos/","rsync://mirror.easyname.at/centos/"
"EU","Austria","Goodie Domain Service","http://gd.tuwien.ac.at/","http://gd.tuwien.ac.at/opsys/linux/centos/","ftp://gd.tuwien.ac.at/opsys/linux/centos/","rsync://gd.tuwien.ac.at/opsys/linux/centos/"
"EU","Austria","netzpionier and it&tel","http://www.mirroraustria.at/","http://centos.mirroraustria.at/","ftp://centos.mirroraustria.at/centos/","rsync://centos.mirroraustria.at/CentOS/"
"EU","Austria","next layer GmbH","http://www.nextlayer.at/","http://mirror.nextlayer.at/centos/","",""
"EU","Austria","Technische Universität Graz","http://portal.tugraz.at/portal/page/portal/TU_Graz","http://ftp.tugraz.at/mirror/centos/","ftp://ftp.tugraz.at/mirror/centos/",""
"EU","Austria","UPC Austria","http://www.upc.at/","http://mirror.inode.at/data/centos/","ftp://mirror.inode.at/centos/","rsync://mirror.inode.at/mirror/centos/"
"EU","Belarus","RUE Beltelecom, ByFly ISP.","http://byfly.by/","http://ftp.byfly.by/pub/CentOS/","ftp://ftp.byfly.by/pub/CentOS/","rsync://ftp.byfly.by/CentOS/"
"EU","Belgium","All In One","http://www.all-in-one.be/","http://mirror.myip.be/pub/centos/","",""
"EU","Belgium","Belnet","http://www.belnet.be/en/","http://ftp.belnet.be/ftp.centos.org/","ftp://ftp.belnet.be/mirror/ftp.centos.org/"," rsync://rsync.belnet.be/centos/"
"EU","Belgium","Connexeon bvba","http://www.connexeon.com","http://centos.mirror.connexeon.net/","",""
"EU","Belgium","Cu.be Solutions","http://cu.be/","http://centos.cu.be/","",""
"EU","Belgium","Kinamo NV/SA","http://www.kinamo.be/","http://mirror.kinamo.be/centos/","",""
"EU","Belgium","Nucleus","http://www.nucleus.be/","http://centos.mirror.nucleus.be/","ftp://centos.mirror.nucleus.be/",""
"EU","Belgium","Unix-Solutions","http://www.unix-solutions.be/","http://mirror.unix-solutions.be/centos/","",""
"EU","Belgium","WeePee telecom","http://www.weepeetelecom.be/","http://centos.weepeetelecom.be/","",""
"EU","Bosnia & Herzegovina","BH Telecom","http://www.bhtelecom.ba","http://mirror.centos.com.ba/","",""
